id,created,updated,title,tab_title,tab_number,tab_type,tableau_url,location_id,aplus_date_range,aplus_site,aplus_area,rems_site,rems_fleet_type,rems_date_range
180,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 Watchlist,EW OPF1 Watchlist,10,1,https://analytics.fmgl.com.au/t/sandbox/views/EWOPF1Watchlist/EWOPF1Watchlist?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,
174,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW OPF1 Weekly TUM,EW OPF1 Weekly TUM,4,1,https://analytics.fmgl.com.au/t/sandbox/views/EWOPF1WeeklyTUM/EWOPF1WeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,
178,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW Stockyard & TLO 30 Day DT,EW Stockyard & TLO 30 Day DT,7,3,,37,30 Days,Eliwana,EW Stockyard,,,
183,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW Stockyard & TLO Idlers,EW Stockyard & TLO Idlers,9,1,https://analytics.fmgl.com.au/t/sandbox/views/EWSYIdlers/EWSYIdlers?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,
181,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW Stockyard & TLO Watchlist,EW Stockyard & TLO Watchlist,11,1,https://analytics.fmgl.com.au/t/sandbox/views/EWSYWatchlist/EWSYWatchlist?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,
177,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW Stockyard & TLO Weekly TUM,EW Stockyard & TLO Weekly TUM,5,1,https://analytics.fmgl.com.au/t/sandbox/views/EWTLOWeeklyTUM/EWTLOWeeklyTUM?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,
240,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW Stockyard Summary,EW Stockyard Summary,2,1,https://analytics.fmgl.com.au/t/sandbox/views/EWTLOSummary/EWTLOSummary_1?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,37,,,,,,
176,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,EW TLO Summary,EW TLO Summary,3,1,https://analytics.fmgl.com.au/t/sandbox/views/EliwanaTrainLoadSummary/TrainLoadOutSummary_1?:showAppBanner=false&:origin=viz_share_link&:display_count=n&:showVizHome=n&:device=desktop,37,,,,,,
113,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,FT CH 30 Day DT,FT CH 30 Day DT,3,3,,32,30 Days,Solomon,FT Infeed and PC,,,
111,2022-08-15 17:55:00.000 +0800,2022-08-15 17:55:00.000 +0800,FT CH Summary ,FT CH Summary ,1,1,https://analytics.fmgl.com.au/t/sandbox/views/FTCHSummary/FTCHSummary?:showAppBanner=false&:display_count=n&:showVizHome=n&:origin=viz_share_link&:device=desktop,32,,,,,,
